[2026-07-02 14:34:36] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [1995093.0, 2058559.0]
[2026-07-02 14:34:37] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.685 | freq: [1800000.0, 1729348.0]
[2026-07-02 14:34:37] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6866666666666666 | freq: [3374738.0, 1903686.0]
[2026-07-02 14:34:37] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2300000.0, 2551933.0]
[2026-07-02 14:34:38] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6966666666666667 | freq: [3700000.0, 2869469.0]
[2026-07-02 14:34:38] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [2400000.0, 2515387.0]
[2026-07-02 14:34:38] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.69 | freq: [2623041.0, 2457560.0]
[2026-07-02 14:34:39] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [1999956.0, 2388234.0]
[2026-07-02 14:34:39] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6966666666666667 | freq: [2802575.0, 3306158.0]
[2026-07-02 14:34:39] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6933333333333334 | freq: [3949279.0, 4601572.0]
[2026-07-02 14:34:40] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6933333333333334 | freq: [3801173.0, 2852139.0]
[2026-07-02 14:34:40] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6933333333333334 | freq: [1977387.5, 2029332.5]
[2026-07-02 14:34:40] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6966666666666667 | freq: [1766242.0, 1739749.5]
[2026-07-02 14:34:41] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.69 | freq: [3400535.5, 2130136.5]
[2026-07-02 14:34:41] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2300000.0, 2376092.0]
[2026-07-02 14:34:41] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6966666666666667 | freq: [3700019.0, 2185501.0]
[2026-07-02 14:34:42] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [2400000.0, 2458069.5]
[2026-07-02 14:34:42] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6966666666666667 | freq: [2661520.5, 2579447.0]
[2026-07-02 14:34:42] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1954672.0, 2253158.0]
[2026-07-02 14:34:43] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3179894.5, 3537146.0]
[2026-07-02 14:34:43] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3725105.5, 4201373.5]
[2026-07-02 14:34:43] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3781463.5, 3326614.0]
[2026-07-02 14:34:44] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [1983310.0, 2520024.6666666665]
[2026-07-02 14:34:44] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1773171.0, 1769337.6666666667]
[2026-07-02 14:34:44] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [3466022.6666666665, 2587112.3333333335]
[2026-07-02 14:34:45] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [2300007.0, 2283968.6666666665]
[2026-07-02 14:34:45] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [3699998.0, 2564832.6666666665]
[2026-07-02 14:34:45] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2400000.0, 2627920.3333333335]
[2026-07-02 14:34:46] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7000000000000001 | freq: [2632862.3333333335, 2559849.6666666665]
[2026-07-02 14:34:46] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7000000000000001 | freq: [1924286.6666666667, 2286525.0]
[2026-07-02 14:34:46] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6933333333333334 | freq: [3088961.3333333335, 3333496.6666666665]
[2026-07-02 14:34:47] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6966666666666667 | freq: [3629906.3333333335, 3968381.3333333335]
[2026-07-02 14:34:47] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6866666666666666 | freq: [3890146.3333333335, 3160602.6666666665]
[2026-07-02 14:34:47] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6833333333333332 | freq: [1913611.0, 2602561.3333333335]
[2026-07-02 14:34:48] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6900000000000001 | freq: [1730841.3333333333, 1987956.3333333333]
[2026-07-02 14:34:48] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7000000000000001 | freq: [3541110.0, 3119650.3333333335]
[2026-07-02 14:34:48] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [2300014.6666666665, 2600352.3333333335]
[2026-07-02 14:34:49] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [3650599.0, 2808731.0]
[2026-07-02 14:34:49] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7066666666666667 | freq: [2396578.3333333335, 2948616.0]
[2026-07-02 14:34:50] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7066666666666667 | freq: [2658515.3333333335, 2924835.3333333335]
[2026-07-02 14:34:50] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1924308.0, 2690824.0]
[2026-07-02 14:34:50] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7066666666666667 | freq: [3442592.3333333335, 3562551.6666666665]
[2026-07-02 14:34:51] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7033333333333333 | freq: [3610755.3333333335, 3752268.0]
[2026-07-02 14:34:51] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7066666666666667 | freq: [3731864.0, 3518284.3333333335]
[2026-07-02 14:34:52] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1927040.6666666667, 3041930.6666666665]
[2026-07-02 14:34:52] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [1753346.6666666667, 2571611.0]
[2026-07-02 14:34:53] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6999999999999998 | freq: [3563671.0, 3379511.6666666665]
[2026-07-02 14:34:53] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6999999999999998 | freq: [2300022.3333333335, 3033951.6666666665]
[2026-07-02 14:34:53] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3650601.6666666665, 3286984.3333333335]
[2026-07-02 14:34:54] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6999999999999998 | freq: [2396588.0, 3086266.0]
[2026-07-02 14:34:54] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6999999999999998 | freq: [2658515.3333333335, 2924546.6666666665]
[2026-07-02 14:34:54] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1954504.6666666667, 2941383.6666666665]
[2026-07-02 14:34:55] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7033333333333333 | freq: [3552013.0, 3713536.0]
[2026-07-02 14:34:55] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7033333333333333 | freq: [3717285.0, 3752300.6666666665]
[2026-07-02 14:34:55] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7033333333333333 | freq: [3728608.0, 3563153.0]
[2026-07-02 14:34:56] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1911790.6666666667, 2980961.0]
[2026-07-02 14:34:56] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7066666666666667 | freq: [1757680.3333333333, 3129184.6666666665]
[2026-07-02 14:34:56] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7033333333333333 | freq: [3564691.0, 3356460.6666666665]
[2026-07-02 14:34:57] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [2300022.6666666665, 3500836.0]
[2026-07-02 14:34:57] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3644365.6666666665, 3230576.0]
[2026-07-02 14:34:57] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7033333333333333 | freq: [2383590.0, 3055126.0]
[2026-07-02 14:34:58] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7066666666666667 | freq: [2658716.3333333335, 3008827.3333333335]
[2026-07-02 14:34:58] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [2000006.0, 3135545.0]
[2026-07-02 14:34:58] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3839303.3333333335, 4203117.666666667]
[2026-07-02 14:34:59] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3930213.6666666665, 3751812.3333333335]
[2026-07-02 14:34:59] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7000000000000001 | freq: [3671105.3333333335, 3827549.3333333335]
[2026-07-02 14:34:59] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6900000000000001 | freq: [1911063.3333333333, 2934023.0]
[2026-07-02 14:35:00] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6900000000000001 | freq: [1800010.0, 3087147.3333333335]
[2026-07-02 14:35:00] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.68 | freq: [3527055.0, 3283604.6666666665]
[2026-07-02 14:35:00] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6900000000000001 | freq: [2292460.3333333335, 3111993.6666666665]
[2026-07-02 14:35:01] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7000000000000001 | freq: [3678722.0, 2712682.3333333335]
[2026-07-02 14:35:01] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7000000000000001 | freq: [2376859.0, 2749302.6666666665]
[2026-07-02 14:35:01] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6900000000000001 | freq: [2658716.3333333335, 2712615.0]
[2026-07-02 14:35:02] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.68 | freq: [1999999.3333333333, 2720515.3333333335]
[2026-07-02 14:35:02] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6900000000000001 | freq: [3637005.6666666665, 3962397.0]
[2026-07-02 14:35:02] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6900000000000001 | freq: [3833200.6666666665, 3583606.0]
[2026-07-02 14:35:03] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6933333333333334 | freq: [3829365.6666666665, 3777949.6666666665]
[2026-07-02 14:35:03] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6933333333333334 | freq: [1818914.0, 2580981.3333333335]
[2026-07-02 14:35:03] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [1800020.0, 2486855.3333333335]
[2026-07-02 14:35:04] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7000000000000001 | freq: [3452311.6666666665, 3092926.6666666665]
[2026-07-02 14:35:04] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6933333333333334 | freq: [2292452.6666666665, 2662374.6666666665]
[2026-07-02 14:35:04] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6833333333333332 | freq: [3678719.0, 2795189.6666666665]
[2026-07-02 14:35:05] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6833333333333332 | freq: [2345630.6666666665, 2629510.3333333335]
[2026-07-02 14:35:05] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [2625278.6666666665, 2773605.6666666665]
[2026-07-02 14:35:05] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6900000000000001 | freq: [1999999.6666666667, 2490670.6666666665]
[2026-07-02 14:35:06] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7000000000000001 | freq: [3402679.6666666665, 3700385.0]
